-32.000	-26.375	1.000
32.000	-26.375	1.000
32.000	26.375	1.000
-32.000	26.375	1.000
-32.000	-26.375	-6.000
32.000	-26.375	-6.000
32.000	26.375	-6.000
-32.000	26.375	-6.000
-30.270	-28.183	1.000
-33.730	-24.570	1.000
30.270	-28.183	1.000
33.730	-24.570	1.000
-30.270	28.183	1.000
-33.730	24.570	1.000
30.270	28.183	1.000
33.730	24.570	1.000
-30.270	-28.183	-6.000
-33.730	-24.570	-6.000
30.270	-28.183	-6.000
33.730	-24.570	-6.000
-30.270	28.183	-6.000
-33.730	24.570	-6.000
30.270	28.183	-6.000
33.730	24.570	-6.000
-20.000	-9.000	2.000
-14.000	-15.250	2.000
-6.000	-15.250	2.000
6.000	-15.250	2.000
14.000	-15.250	2.000
20.000	-9.000	2.000
20.000	0.000	2.000
20.000	9.000	2.000
14.000	15.250	2.000
6.000	15.250	2.000
-6.000	15.250	2.000
-14.000	15.250	2.000
-20.000	9.000	2.000
-20.000	0.000	2.000
-20.000	-9.000	-6.000
-14.000	-15.250	-6.000
-6.000	-15.250	-6.000
6.000	-15.250	-6.000
14.000	-15.250	-6.000
20.000	-9.000	-6.000
20.000	0.000	-6.000
20.000	9.000	-6.000
14.000	15.250	-6.000
6.000	15.250	-6.000
-6.000	15.250	-6.000
-14.000	15.250	-6.000
-20.000	9.000	-6.000
-20.000	0.000	-6.000
-15.000	-10.000	7.000
15.000	-10.000	7.000
15.000	10.000	7.000
-15.000	10.000	7.000
-6.000	-4.000	0.000
6.000	-4.000	0.000
6.000	4.000	0.000
-6.000	4.000	0.000
